name,domains,skills,paid,duration,role,location,mode,prerequisites,stipend,other
CloudNova Tech,Business Analytics,"SQL, Tableau, Storytelling, Excel",Yes,3 months,Business Analyst Intern,Pune,remote,Strong fundamentals in Business Analytics and willingness to learn.,₹5098 /month,Access to internal learning resources and workshops.
WebWorks Studio,Web Development,"JavaScript, Node.js, HTML, React",No,3 months,Frontend Web Intern,Delhi,remote,Good communication skills and ability to work in a team.,₹0 /month,Access to internal learning resources and workshops.
BrightPath Solutions,Web Development,"JavaScript, React, REST APIs, Node.js",Yes,6 months,Full-Stack Web Intern,Kochi,onsite,"Comfortable with JavaScript, React, REST APIs, Node.js and basic problem solving.",₹3328 /month,Certificate and Letter of Recommendation.
GreenStack Innovations,UI/UX,"Wireframing, User Research, Prototyping, Figma",No,6 months,UI/UX Design Intern,Hyderabad,onsite,Basic understanding of industry tools used in UI/UX.,₹0 /month,Flexible working hours and remote-friendly culture.
DataForge Labs,DevOps,"Kubernetes, CI/CD, Linux, Docker",Yes,2 months,DevOps Intern,Hyderabad,hybrid,"Comfortable with Kubernetes, CI/CD, Linux, Docker and basic problem solving.",₹16064 /month,Chance for Pre-Placement Offer (PPO) based on performance.
PixelCraft Studios,Cloud Computing,"Linux, AWS, Kubernetes, Docker",Yes,6 months,Cloud Intern,Chennai,hybrid,Good communication skills and ability to work in a team.,₹24962 /month,Flexible working hours and remote-friendly culture.
BlueSky Digital,Cloud Computing,"AWS, Kubernetes, Docker, CI/CD",Yes,3 months,Cloud Intern,Mumbai,onsite,College projects or mini-projects in related areas is a plus.,₹4242 /month,Certificate and Letter of Recommendation.
BlueSky Digital,Business Analytics,"SQL, Tableau, Excel, Storytelling",Yes,4–6 months,Business Analyst Intern,Noida,onsite,"Comfortable with SQL, Tableau, Excel, Storytelling and basic problem solving.",₹3236 /month,Flexible working hours and remote-friendly culture.
GreenStack Innovations,Machine Learning,"Scikit-Learn, TensorFlow, MLflow, Python",Yes,6 months,ML Engineer Intern,Hyderabad,remote,Good communication skills and ability to work in a team.,₹17961 /month,Opportunity to work on live client projects.
BlueSky Digital,Cloud Computing,"Linux, CI/CD, AWS, Kubernetes",Yes,2 months,Cloud Engineer Intern,Chennai,hybrid,Good communication skills and ability to work in a team.,₹9311 /month,Opportunity to work on live client projects.
BrightPath Solutions,AI & Robotics,"Embedded Systems, OpenCV, ROS, Python",Yes,6 months,AI Research Intern,Kochi,remote,College projects or mini-projects in related areas is a plus.,₹3703 /month,1:1 mentorship from industry professionals.
GreenStack Innovations,UI/UX,"Wireframing, Prototyping, Figma, User Research",Yes,2 months,UI/UX Design Intern,Chennai,onsite,Basic understanding of industry tools used in UI/UX.,₹3497 /month,Opportunity to work on live client projects.
HealthSync Systems,DevOps,"Linux, GitHub Actions, Docker, CI/CD",Yes,6 months,DevOps Intern,Pune,remote,Good communication skills and ability to work in a team.,₹15920 /month,Opportunity to work on live client projects.
BlueSky Digital,Data Science,"Python, Scikit-Learn, NumPy, Power BI",Yes,6 months,Data Analyst Intern,Kochi,remote,Good communication skills and ability to work in a team.,₹4558 /month,Flexible working hours and remote-friendly culture.
MarketPulse Insights,AI & Robotics,"Python, OpenCV, ROS, Embedded Systems",No,3 months,AI Research Intern,Remote,onsite,Strong fundamentals in AI & Robotics and willingness to learn.,₹0 /month,Team outings and hackathon-style sprints.
SecureGate Cyber,DevOps,"Docker, Linux, Kubernetes, GitHub Actions",Yes,6 months,DevOps Intern,Remote,remote,"Comfortable with Docker, Linux, Kubernetes, GitHub Actions and basic problem solving.",₹17286 /month,Flexible working hours and remote-friendly culture.
FinTrack Analytics,Mobile Development,"Dart, Android, Flutter, Firebase",No,6 months,Mobile App Intern,Pune,hybrid,Strong fundamentals in Mobile Development and willingness to learn.,₹0 /month,Flexible working hours and remote-friendly culture.
FinTrack Analytics,Business Analytics,"Power BI, Excel, Tableau, SQL",Yes,3 months,Business Analyst Intern,Hyderabad,onsite,"Comfortable with Power BI, Excel, Tableau, SQL and basic problem solving.",₹24871 /month,Access to internal learning resources and workshops.
WebWorks Studio,Business Analytics,"Power BI, Storytelling, Excel, SQL",Yes,2 months,Analytics Intern,Chennai,remote,Good communication skills and ability to work in a team.,₹12891 /month,1:1 mentorship from industry professionals.
CyberMatrix Security,AI & Robotics,"ROS, Python, OpenCV, Embedded Systems",Yes,3 months,AI Research Intern,Delhi,remote,Basic understanding of industry tools used in AI & Robotics.,₹18491 /month,Flexible working hours and remote-friendly culture.
CyberMatrix Security,Machine Learning,"PyTorch, MLflow, Python, Scikit-Learn",Yes,4–6 months,ML Engineer Intern,Mumbai,remote,Strong fundamentals in Machine Learning and willingness to learn.,₹3028 /month,1:1 mentorship from industry professionals.
MarketPulse Insights,Mobile Development,"Android, Dart, REST APIs, Firebase",Yes,3 months,Mobile App Intern,Bengaluru,onsite,Good communication skills and ability to work in a team.,₹6326 /month,Opportunity to work on live client projects.
CyberMatrix Security,Cloud Computing,"CI/CD, Docker, Linux, AWS",No,6 months,Cloud Intern,Noida,remote,College projects or mini-projects in related areas is a plus.,₹0 /month,Team outings and hackathon-style sprints.
AI Nexus Research,Cloud Computing,"Kubernetes, AWS, Linux, CI/CD",No,2 months,Cloud Intern,Chennai,onsite,Basic understanding of industry tools used in Cloud Computing.,₹0 /month,Team outings and hackathon-style sprints.
OrbitSoft,Machine Learning,"PyTorch, MLflow, Python, TensorFlow",Yes,4–6 months,AI Intern,Kochi,onsite,College projects or mini-projects in related areas is a plus.,₹9937 /month,Chance for Pre-Placement Offer (PPO) based on performance.
DataForge Labs,AI & Robotics,"Embedded Systems, OpenCV, ROS, Python",Yes,3 months,AI Research Intern,Remote,hybrid,"Comfortable with Embedded Systems, OpenCV, ROS, Python and basic problem solving.",₹8894 /month,Opportunity to work on live client projects.
SecureGate Cyber,Cybersecurity,"Python, Burp Suite, Networking, Kali Linux",No,3 months,Security Analyst Intern,Remote,onsite,Basic understanding of industry tools used in Cybersecurity.,₹0 /month,Certificate and Letter of Recommendation.
GreenStack Innovations,AI & Robotics,"OpenCV, Embedded Systems, Python, ROS",Yes,4–6 months,AI Research Intern,Coimbatore,remote,Basic understanding of industry tools used in AI & Robotics.,₹17519 /month,Certificate and Letter of Recommendation.
DataForge Labs,Data Science,"Python, Pandas, Power BI, SQL",Yes,6 months,Data Science Intern,Mumbai,hybrid,Good communication skills and ability to work in a team.,₹7366 /month,Opportunity to work on live client projects.
BlueSky Digital,Business Analytics,"Excel, Tableau, Storytelling, Power BI",Yes,3 months,Analytics Intern,Mumbai,remote,Good communication skills and ability to work in a team.,₹4599 /month,Team outings and hackathon-style sprints.
BrightPath Solutions,Web Development,"REST APIs, Node.js, HTML, CSS",Yes,6 months,Full-Stack Web Intern,Pune,remote,Basic understanding of industry tools used in Web Development.,₹21107 /month,Flexible working hours and remote-friendly culture.
CloudNova Tech,UI/UX,"Prototyping, Wireframing, Figma, User Research",Yes,3 months,UI/UX Design Intern,Coimbatore,onsite,Good communication skills and ability to work in a team.,₹3248 /month,Access to internal learning resources and workshops.
HealthSync Systems,DevOps,"Docker, CI/CD, Kubernetes, GitHub Actions",Yes,4–6 months,SRE Intern,Chennai,remote,College projects or mini-projects in related areas is a plus.,₹3790 /month,Access to internal learning resources and workshops.
NeuroGrid AI,Mobile Development,"Android, REST APIs, Firebase, Flutter",Yes,6 months,Flutter Developer Intern,Kochi,hybrid,Good communication skills and ability to work in a team.,₹6980 /month,Access to internal learning resources and workshops.
AI Nexus Research,Mobile Development,"REST APIs, Flutter, Dart, Android",Yes,6 months,Mobile App Intern,Chennai,remote,Good communication skills and ability to work in a team.,₹14471 /month,Certificate and Letter of Recommendation.
HealthSync Systems,Cloud Computing,"CI/CD, Kubernetes, Docker, AWS",Yes,2 months,Cloud Engineer Intern,Remote,remote,"Comfortable with CI/CD, Kubernetes, Docker, AWS and basic problem solving.",₹17779 /month,Access to internal learning resources and workshops.
GreenStack Innovations,Mobile Development,"REST APIs, Dart, Android, Flutter",Yes,4–6 months,Flutter Developer Intern,Hyderabad,onsite,Strong fundamentals in Mobile Development and willingness to learn.,₹10766 /month,Team outings and hackathon-style sprints.
CloudNova Tech,Cybersecurity,"Networking, Kali Linux, Python, OWASP Top 10",Yes,2 months,Cybersecurity Intern,Noida,onsite,College projects or mini-projects in related areas is a plus.,₹19215 /month,1:1 mentorship from industry professionals.
FinTrack Analytics,Cloud Computing,"Linux, Kubernetes, CI/CD, AWS",Yes,3 months,Cloud Engineer Intern,Mumbai,hybrid,Good communication skills and ability to work in a team.,₹6941 /month,Certificate and Letter of Recommendation.
NeuroGrid AI,AI & Robotics,"ROS, Python, Embedded Systems, OpenCV",Yes,4–6 months,AI Research Intern,Hyderabad,onsite,"Comfortable with ROS, Python, Embedded Systems, OpenCV and basic problem solving.",₹13106 /month,Chance for Pre-Placement Offer (PPO) based on performance.
HealthSync Systems,Machine Learning,"TensorFlow, MLflow, Scikit-Learn, Python",Yes,2 months,ML Engineer Intern,Hyderabad,remote,Good communication skills and ability to work in a team.,₹4220 /month,Certificate and Letter of Recommendation.
BrightPath Solutions,AI & Robotics,"OpenCV, Python, Embedded Systems, ROS",Yes,6 months,AI Research Intern,Noida,onsite,Good communication skills and ability to work in a team.,₹6990 /month,1:1 mentorship from industry professionals.
GreenStack Innovations,Machine Learning,"TensorFlow, PyTorch, MLflow, Python",No,2 months,ML Engineer Intern,Bengaluru,onsite,College projects or mini-projects in related areas is a plus.,₹0 /month,Opportunity to work on live client projects.
PixelCraft Studios,Mobile Development,"REST APIs, Flutter, Android, Firebase",Yes,6 months,Flutter Developer Intern,Noida,onsite,Good communication skills and ability to work in a team.,₹6123 /month,1:1 mentorship from industry professionals.
CyberMatrix Security,Mobile Development,"Android, Dart, REST APIs, Flutter",No,3 months,Mobile App Intern,Kochi,hybrid,"Comfortable with Android, Dart, REST APIs, Flutter and basic problem solving.",₹0 /month,Team outings and hackathon-style sprints.
HealthSync Systems,Web Development,"HTML, React, JavaScript, CSS",Yes,4–6 months,Full-Stack Web Intern,Kochi,onsite,Strong fundamentals in Web Development and willingness to learn.,₹19990 /month,Chance for Pre-Placement Offer (PPO) based on performance.
DataForge Labs,Machine Learning,"MLflow, PyTorch, Scikit-Learn, Python",Yes,6 months,ML Engineer Intern,Remote,hybrid,Basic understanding of industry tools used in Machine Learning.,₹12311 /month,1:1 mentorship from industry professionals.
BrightPath Solutions,AI & Robotics,"Embedded Systems, Python, ROS, OpenCV",Yes,3 months,Robotics Intern,Bengaluru,hybrid,"Comfortable with Embedded Systems, Python, ROS, OpenCV and basic problem solving.",₹10497 /month,Certificate and Letter of Recommendation.
BrightPath Solutions,Machine Learning,"MLflow, Python, TensorFlow, Scikit-Learn",Yes,3 months,ML Engineer Intern,Chennai,remote,"Comfortable with MLflow, Python, TensorFlow, Scikit-Learn and basic problem solving.",₹24187 /month,Team outings and hackathon-style sprints.
PixelCraft Studios,Machine Learning,"MLflow, Python, PyTorch, TensorFlow",Yes,3 months,ML Engineer Intern,Pune,hybrid,Strong fundamentals in Machine Learning and willingness to learn.,₹9828 /month,Certificate and Letter of Recommendation.
AI Nexus Research,Machine Learning,"MLflow, TensorFlow, PyTorch, Scikit-Learn",Yes,3 months,AI Intern,Coimbatore,hybrid,Basic understanding of industry tools used in Machine Learning.,₹11763 /month,Chance for Pre-Placement Offer (PPO) based on performance.
CyberMatrix Security,Machine Learning,"TensorFlow, Python, MLflow, PyTorch",Yes,2 months,ML Engineer Intern,Chennai,onsite,"Comfortable with TensorFlow, Python, MLflow, PyTorch and basic problem solving.",₹18022 /month,Flexible working hours and remote-friendly culture.
HealthSync Systems,Machine Learning,"TensorFlow, PyTorch, Scikit-Learn, Python",Yes,3 months,ML Engineer Intern,Chennai,onsite,"Comfortable with TensorFlow, PyTorch, Scikit-Learn, Python and basic problem solving.",₹5844 /month,Chance for Pre-Placement Offer (PPO) based on performance.
DataForge Labs,Cybersecurity,"Kali Linux, Python, OWASP Top 10, Networking",No,3 months,Cybersecurity Intern,Coimbatore,remote,Good communication skills and ability to work in a team.,₹0 /month,Team outings and hackathon-style sprints.
OrbitSoft,Mobile Development,"Firebase, REST APIs, Flutter, Android",Yes,2 months,Flutter Developer Intern,Bengaluru,hybrid,Basic understanding of industry tools used in Mobile Development.,₹23038 /month,Team outings and hackathon-style sprints.
HealthSync Systems,DevOps,"Linux, CI/CD, Docker, Kubernetes",Yes,6 months,DevOps Intern,Pune,onsite,Good communication skills and ability to work in a team.,₹3360 /month,Certificate and Letter of Recommendation.
BlueSky Digital,UI/UX,"Wireframing, Figma, User Research, Prototyping",No,3 months,UI/UX Design Intern,Remote,onsite,Good communication skills and ability to work in a team.,₹0 /month,Opportunity to work on live client projects.
SecureGate Cyber,DevOps,"Kubernetes, Docker, GitHub Actions, Linux",Yes,2 months,SRE Intern,Bengaluru,hybrid,Basic understanding of industry tools used in DevOps.,₹18220 /month,Flexible working hours and remote-friendly culture.
SecureGate Cyber,Data Science,"Scikit-Learn, Power BI, NumPy, Python",Yes,2 months,Data Science Intern,Mumbai,onsite,Strong fundamentals in Data Science and willingness to learn.,₹5530 /month,Flexible working hours and remote-friendly culture.
SecureGate Cyber,Cloud Computing,"AWS, Docker, Kubernetes, Linux",Yes,2 months,Cloud Engineer Intern,Mumbai,onsite,"Comfortable with AWS, Docker, Kubernetes, Linux and basic problem solving.",₹7547 /month,1:1 mentorship from industry professionals.
AI Nexus Research,DevOps,"Docker, Kubernetes, GitHub Actions, Linux",Yes,2 months,DevOps Intern,Chennai,onsite,"Comfortable with Docker, Kubernetes, GitHub Actions, Linux and basic problem solving.",₹4458 /month,Certificate and Letter of Recommendation.
NeuroGrid AI,UI/UX,"User Research, Wireframing, Prototyping, Figma",No,6 months,UI/UX Design Intern,Pune,remote,Strong fundamentals in UI/UX and willingness to learn.,₹0 /month,Flexible working hours and remote-friendly culture.
MarketPulse Insights,DevOps,"GitHub Actions, CI/CD, Docker, Kubernetes",Yes,2 months,DevOps Intern,Delhi,onsite,College projects or mini-projects in related areas is a plus.,₹20803 /month,Certificate and Letter of Recommendation.
SecureGate Cyber,Data Science,"NumPy, Scikit-Learn, Python, Pandas",Yes,4–6 months,Data Analyst Intern,Coimbatore,onsite,College projects or mini-projects in related areas is a plus.,₹6897 /month,Certificate and Letter of Recommendation.
DataForge Labs,Cybersecurity,"Burp Suite, Python, OWASP Top 10, Networking",Yes,3 months,Security Analyst Intern,Noida,hybrid,"Comfortable with Burp Suite, Python, OWASP Top 10, Networking and basic problem solving.",₹7906 /month,1:1 mentorship from industry professionals.
DataForge Labs,Data Science,"Scikit-Learn, Pandas, NumPy, SQL",No,4–6 months,Data Analyst Intern,Hyderabad,onsite,"Comfortable with Scikit-Learn, Pandas, NumPy, SQL and basic problem solving.",₹0 /month,Chance for Pre-Placement Offer (PPO) based on performance.
NeuroGrid AI,AI & Robotics,"Embedded Systems, OpenCV, ROS, Python",Yes,6 months,AI Research Intern,Coimbatore,onsite,College projects or mini-projects in related areas is a plus.,₹3785 /month,1:1 mentorship from industry professionals.
OrbitSoft,Business Analytics,"SQL, Storytelling, Excel, Power BI",Yes,3 months,Business Analyst Intern,Bengaluru,hybrid,College projects or mini-projects in related areas is a plus.,₹3712 /month,Certificate and Letter of Recommendation.
HealthSync Systems,Data Science,"NumPy, Power BI, Scikit-Learn, SQL",Yes,6 months,Data Analyst Intern,Mumbai,hybrid,College projects or mini-projects in related areas is a plus.,₹4162 /month,Flexible working hours and remote-friendly culture.
CloudNova Tech,Web Development,"CSS, React, REST APIs, HTML",Yes,2 months,Full-Stack Web Intern,Mumbai,onsite,"Comfortable with CSS, React, REST APIs, HTML and basic problem solving.",₹8270 /month,Access to internal learning resources and workshops.
AI Nexus Research,UI/UX,"Prototyping, Wireframing, Figma, User Research",Yes,6 months,UI/UX Design Intern,Pune,hybrid,Strong fundamentals in UI/UX and willingness to learn.,₹14060 /month,Opportunity to work on live client projects.
BrightPath Solutions,Cloud Computing,"CI/CD, Docker, AWS, Kubernetes",Yes,4–6 months,Cloud Intern,Delhi,hybrid,Basic understanding of industry tools used in Cloud Computing.,₹4756 /month,Team outings and hackathon-style sprints.
DataForge Labs,Web Development,"REST APIs, JavaScript, React, CSS",Yes,3 months,Full-Stack Web Intern,Bengaluru,remote,Strong fundamentals in Web Development and willingness to learn.,₹7711 /month,Certificate and Letter of Recommendation.
PixelCraft Studios,DevOps,"CI/CD, GitHub Actions, Kubernetes, Linux",Yes,3 months,SRE Intern,Noida,hybrid,Strong fundamentals in DevOps and willingness to learn.,₹3593 /month,Flexible working hours and remote-friendly culture.
GreenStack Innovations,UI/UX,"Prototyping, Figma, User Research, Wireframing",Yes,2 months,UI/UX Design Intern,Mumbai,remote,"Comfortable with Prototyping, Figma, User Research, Wireframing and basic problem solving.",₹24660 /month,Flexible working hours and remote-friendly culture.
PixelCraft Studios,UI/UX,"Wireframing, Figma, Prototyping, User Research",Yes,6 months,UI/UX Design Intern,Coimbatore,hybrid,Good communication skills and ability to work in a team.,₹13130 /month,Team outings and hackathon-style sprints.
AI Nexus Research,Machine Learning,"Python, TensorFlow, Scikit-Learn, PyTorch",Yes,6 months,AI Intern,Chennai,hybrid,Good communication skills and ability to work in a team.,₹6299 /month,Flexible working hours and remote-friendly culture.
PixelCraft Studios,Mobile Development,"Flutter, Dart, Android, REST APIs",No,2 months,Mobile App Intern,Noida,hybrid,Basic understanding of industry tools used in Mobile Development.,₹0 /month,1:1 mentorship from industry professionals.
NeuroGrid AI,Web Development,"CSS, Node.js, REST APIs, React",Yes,6 months,Frontend Web Intern,Delhi,onsite,Strong fundamentals in Web Development and willingness to learn.,₹9150 /month,Chance for Pre-Placement Offer (PPO) based on performance.
CloudNova Tech,Machine Learning,"PyTorch, MLflow, Scikit-Learn, Python",Yes,6 months,AI Intern,Noida,remote,Basic understanding of industry tools used in Machine Learning.,₹3447 /month,Team outings and hackathon-style sprints.
FinTrack Analytics,Mobile Development,"Dart, Android, Flutter, REST APIs",Yes,4–6 months,Mobile App Intern,Mumbai,remote,Good communication skills and ability to work in a team.,₹19898 /month,Certificate and Letter of Recommendation.
HealthSync Systems,Data Science,"Scikit-Learn, Power BI, SQL, Python",Yes,4–6 months,Data Science Intern,Pune,onsite,Good communication skills and ability to work in a team.,₹4680 /month,Access to internal learning resources and workshops.
FinTrack Analytics,Business Analytics,"Power BI, Excel, Tableau, SQL",Yes,3 months,Analytics Intern,Hyderabad,hybrid,Strong fundamentals in Business Analytics and willingness to learn.,₹3889 /month,Access to internal learning resources and workshops.
WebWorks Studio,UI/UX,"Wireframing, Figma, Prototyping, User Research",Yes,6 months,UI/UX Design Intern,Hyderabad,onsite,"Comfortable with Wireframing, Figma, Prototyping, User Research and basic problem solving.",₹12915 /month,Certificate and Letter of Recommendation.
CyberMatrix Security,DevOps,"Linux, GitHub Actions, Kubernetes, Docker",Yes,6 months,DevOps Intern,Remote,hybrid,Strong fundamentals in DevOps and willingness to learn.,₹4756 /month,1:1 mentorship from industry professionals.
GreenStack Innovations,Machine Learning,"PyTorch, Python, MLflow, TensorFlow",No,4–6 months,ML Engineer Intern,Delhi,hybrid,Strong fundamentals in Machine Learning and willingness to learn.,₹0 /month,1:1 mentorship from industry professionals.
BlueSky Digital,Data Science,"Pandas, Power BI, NumPy, Python",Yes,4–6 months,Data Analyst Intern,Coimbatore,hybrid,College projects or mini-projects in related areas is a plus.,₹4035 /month,1:1 mentorship from industry professionals.
SecureGate Cyber,Data Science,"SQL, Python, Scikit-Learn, NumPy",Yes,3 months,Data Science Intern,Remote,hybrid,Good communication skills and ability to work in a team.,₹3661 /month,Flexible working hours and remote-friendly culture.
AI Nexus Research,Machine Learning,"Python, Scikit-Learn, PyTorch, MLflow",Yes,4–6 months,AI Intern,Kochi,remote,"Comfortable with Python, Scikit-Learn, PyTorch, MLflow and basic problem solving.",₹5760 /month,Chance for Pre-Placement Offer (PPO) based on performance.
MarketPulse Insights,Cloud Computing,"Kubernetes, Linux, CI/CD, AWS",Yes,4–6 months,Cloud Intern,Coimbatore,hybrid,"Comfortable with Kubernetes, Linux, CI/CD, AWS and basic problem solving.",₹24200 /month,Certificate and Letter of Recommendation.
NeuroGrid AI,AI & Robotics,"Embedded Systems, Python, OpenCV, ROS",Yes,4–6 months,AI Research Intern,Hyderabad,hybrid,Basic understanding of industry tools used in AI & Robotics.,₹4006 /month,Certificate and Letter of Recommendation.
HealthSync Systems,UI/UX,"User Research, Wireframing, Prototyping, Figma",Yes,3 months,UI/UX Design Intern,Mumbai,hybrid,"Comfortable with User Research, Wireframing, Prototyping, Figma and basic problem solving.",₹4829 /month,1:1 mentorship from industry professionals.
CyberMatrix Security,Mobile Development,"Firebase, REST APIs, Flutter, Dart",Yes,4–6 months,Mobile App Intern,Delhi,hybrid,Basic understanding of industry tools used in Mobile Development.,₹4535 /month,1:1 mentorship from industry professionals.
HealthSync Systems,Web Development,"HTML, JavaScript, Node.js, CSS",No,6 months,Frontend Web Intern,Bengaluru,onsite,Basic understanding of industry tools used in Web Development.,₹0 /month,Opportunity to work on live client projects.
GreenStack Innovations,Machine Learning,"Python, TensorFlow, PyTorch, Scikit-Learn",Yes,2 months,AI Intern,Kochi,hybrid,"Comfortable with Python, TensorFlow, PyTorch, Scikit-Learn and basic problem solving.",₹4538 /month,Team outings and hackathon-style sprints.
HealthSync Systems,AI & Robotics,"OpenCV, ROS, Python, Embedded Systems",No,6 months,Robotics Intern,Bengaluru,hybrid,Good communication skills and ability to work in a team.,₹0 /month,Certificate and Letter of Recommendation.
AI Nexus Research,Cloud Computing,"Linux, CI/CD, Docker, AWS",Yes,3 months,Cloud Intern,Remote,onsite,Strong fundamentals in Cloud Computing and willingness to learn.,₹7801 /month,1:1 mentorship from industry professionals.
BlueSky Digital,Web Development,"HTML, React, JavaScript, Node.js",Yes,6 months,Frontend Web Intern,Delhi,hybrid,Good communication skills and ability to work in a team.,₹21626 /month,Chance for Pre-Placement Offer (PPO) based on performance.
BlueSky Digital,Machine Learning,"PyTorch, Python, TensorFlow, MLflow",Yes,6 months,ML Engineer Intern,Bengaluru,hybrid,"Comfortable with PyTorch, Python, TensorFlow, MLflow and basic problem solving.",₹21428 /month,Access to internal learning resources and workshops.
BlueSky Digital,Mobile Development,"Firebase, REST APIs, Dart, Flutter",Yes,2 months,Flutter Developer Intern,Kochi,onsite,College projects or mini-projects in related areas is a plus.,₹12528 /month,Flexible working hours and remote-friendly culture.
WebWorks Studio,UI/UX,"User Research, Figma, Wireframing, Prototyping",Yes,4–6 months,UI/UX Design Intern,Hyderabad,onsite,Good communication skills and ability to work in a team.,₹21507 /month,Opportunity to work on live client projects.
WebWorks Studio,Machine Learning,"TensorFlow, PyTorch, Python, Scikit-Learn",Yes,3 months,ML Engineer Intern,Kochi,onsite,Strong fundamentals in Machine Learning and willingness to learn.,₹24505 /month,Team outings and hackathon-style sprints.
FinTrack Analytics,Web Development,"HTML, Node.js, React, CSS",No,2 months,Full-Stack Web Intern,Kochi,remote,"Comfortable with HTML, Node.js, React, CSS and basic problem solving.",₹0 /month,Flexible working hours and remote-friendly culture.
AI Nexus Research,DevOps,"GitHub Actions, CI/CD, Kubernetes, Linux",Yes,4–6 months,SRE Intern,Chennai,hybrid,"Comfortable with GitHub Actions, CI/CD, Kubernetes, Linux and basic problem solving.",₹6841 /month,Certificate and Letter of Recommendation.
AI Nexus Research,Machine Learning,"PyTorch, TensorFlow, Scikit-Learn, MLflow",Yes,4–6 months,ML Engineer Intern,Noida,onsite,Basic understanding of industry tools used in Machine Learning.,₹11544 /month,Access to internal learning resources and workshops.
DataForge Labs,Cloud Computing,"CI/CD, Kubernetes, AWS, Docker",No,3 months,Cloud Engineer Intern,Kochi,hybrid,Strong fundamentals in Cloud Computing and willingness to learn.,₹0 /month,Flexible working hours and remote-friendly culture.
CyberMatrix Security,Cybersecurity,"Kali Linux, Python, Networking, OWASP Top 10",No,3 months,Security Analyst Intern,Coimbatore,onsite,Strong fundamentals in Cybersecurity and willingness to learn.,₹0 /month,Access to internal learning resources and workshops.
CyberMatrix Security,Web Development,"JavaScript, REST APIs, HTML, Node.js",Yes,2 months,Frontend Web Intern,Mumbai,hybrid,"Comfortable with JavaScript, REST APIs, HTML, Node.js and basic problem solving.",₹3770 /month,Team outings and hackathon-style sprints.
FinTrack Analytics,Cybersecurity,"OWASP Top 10, Burp Suite, Kali Linux, Networking",Yes,3 months,Security Analyst Intern,Pune,hybrid,College projects or mini-projects in related areas is a plus.,₹4490 /month,Opportunity to work on live client projects.
AI Nexus Research,Web Development,"HTML, React, JavaScript, Node.js",No,6 months,Frontend Web Intern,Kochi,onsite,Basic understanding of industry tools used in Web Development.,₹0 /month,1:1 mentorship from industry professionals.
FinTrack Analytics,UI/UX,"Wireframing, User Research, Prototyping, Figma",No,3 months,UI/UX Design Intern,Hyderabad,remote,College projects or mini-projects in related areas is a plus.,₹0 /month,Team outings and hackathon-style sprints.
SecureGate Cyber,DevOps,"Kubernetes, CI/CD, Docker, GitHub Actions",Yes,2 months,DevOps Intern,Pune,remote,Good communication skills and ability to work in a team.,₹6594 /month,Team outings and hackathon-style sprints.
DataForge Labs,Web Development,"CSS, Node.js, REST APIs, JavaScript",Yes,3 months,Frontend Web Intern,Mumbai,onsite,Good communication skills and ability to work in a team.,₹13013 /month,Chance for Pre-Placement Offer (PPO) based on performance.
CyberMatrix Security,AI & Robotics,"OpenCV, Python, Embedded Systems, ROS",Yes,2 months,AI Research Intern,Chennai,remote,Good communication skills and ability to work in a team.,₹10486 /month,Opportunity to work on live client projects.
HealthSync Systems,UI/UX,"Wireframing, User Research, Figma, Prototyping",Yes,2 months,UI/UX Design Intern,Kochi,hybrid,College projects or mini-projects in related areas is a plus.,₹5963 /month,Access to internal learning resources and workshops.
FinTrack Analytics,Cybersecurity,"Kali Linux, Python, Networking, OWASP Top 10",Yes,6 months,Cybersecurity Intern,Delhi,remote,Strong fundamentals in Cybersecurity and willingness to learn.,₹7909 /month,Team outings and hackathon-style sprints.
BlueSky Digital,Cloud Computing,"Docker, Kubernetes, CI/CD, Linux",Yes,3 months,Cloud Intern,Noida,remote,"Comfortable with Docker, Kubernetes, CI/CD, Linux and basic problem solving.",₹7213 /month,1:1 mentorship from industry professionals.
DataForge Labs,Data Science,"Python, SQL, NumPy, Scikit-Learn",Yes,4–6 months,Data Science Intern,Bengaluru,onsite,Basic understanding of industry tools used in Data Science.,₹4642 /month,Team outings and hackathon-style sprints.
DataForge Labs,Machine Learning,"TensorFlow, PyTorch, Scikit-Learn, MLflow",Yes,2 months,AI Intern,Mumbai,hybrid,Strong fundamentals in Machine Learning and willingness to learn.,₹3846 /month,Team outings and hackathon-style sprints.
CyberMatrix Security,UI/UX,"Prototyping, User Research, Figma, Wireframing",Yes,2 months,UI/UX Design Intern,Noida,hybrid,Good communication skills and ability to work in a team.,₹6110 /month,Flexible working hours and remote-friendly culture.
CyberMatrix Security,Machine Learning,"PyTorch, TensorFlow, Scikit-Learn, MLflow",Yes,2 months,ML Engineer Intern,Mumbai,hybrid,"Comfortable with PyTorch, TensorFlow, Scikit-Learn, MLflow and basic problem solving.",₹5827 /month,Certificate and Letter of Recommendation.
MarketPulse Insights,Cloud Computing,"AWS, Linux, Docker, Kubernetes",Yes,3 months,Cloud Intern,Noida,remote,Basic understanding of industry tools used in Cloud Computing.,₹6147 /month,Access to internal learning resources and workshops.
CloudNova Tech,Cybersecurity,"Kali Linux, OWASP Top 10, Networking, Python",No,2 months,Cybersecurity Intern,Delhi,hybrid,"Comfortable with Kali Linux, OWASP Top 10, Networking, Python and basic problem solving.",₹0 /month,Flexible working hours and remote-friendly culture.
